code	level	name_en	name_short_en	name_es	name_short_es
9317	class	Foreign affairs	Foreign affairs	Relaciones exteriores	Relaciones exteriores
9318	class	National security activities	National security activities	Actividades de seguridad nacional	Actividades de seguridad nacional
9321	class	Extraterritorial and international organizations	Extraterritorial and international organizations	Organismos internacionales y extraterritoriales	Organismos internacionales y extraterritoriales
111	group	Agriculture	Agriculture	Agricultura	Agricultura
112	group	Animal breeding and production	Animal breeding and production	Cria y explotacion de animales	Cria y explotacion de animales
113	group	Forestry	Forestry	Aprovechamiento forestal	Aprovechamiento forestal
114	group	Fishing, hunting and trapping	Fishing, hunting and trapping	Pesca, caza y captura	Pesca, caza y captura
115	group	Services related to agricultural and forestry activities	Services related to agricultural and forestry activities	Servicios relacionados con las actividades agropecuarias y forestales	Servicios relacionados con las actividades agropecuarias y forestales
211	group	Oil and gas extraction	Oil and gas extraction	Extraccion de petroleo y gas	Extraccion de petroleo y gas
212	group	Metallic and nonmetallic ore mining, except oil and gas	Metallic and nonmetallic ore mining, except oil and gas	Mineria de minerales metalicos y no metalicos, excepto petroleo y gas	Mineria de minerales metalicos y no metalicos, excepto petroleo y gas
213	group	Services related to mining	Services related to mining	Servicios relacionados con la mineria	Servicios relacionados con la mineria
221	group	Electric power generation, transmission and distribution	Electric power generation, transmission and distribution	Generacion, transmision y distribucion de energia electrica	Generacion, transmision y distribucion de energia electrica
222	group	Water and gas supply through mains to final consumers	Water and gas supply through mains to final consumers	Suministro de agua y suministro de gas por ductos al consumidor final	Suministro de agua y suministro de gas por ductos al consumidor final
236	group	Construction	Construction	Edificacion	Edificacion
237	group	Civil engineering construction works	Civil engineering construction works	Construccion de obras de ingenieria civil	Construccion de obras de ingenieria civil
238	group	Specialized construction works	Specialized construction works	Trabajos especializados para la construccion	Trabajos especializados para la construccion
311	group	Food industry	Food industry	Industria alimentaria	Industria alimentaria
312	group	Beverage and tobacco industries	Beverage and tobacco industries	Industria de las bebidas y del tabaco	Industria de las bebidas y del tabaco
313	group	Textile inputs manufacturing, and textiles finishing	Textile inputs manufacturing, and textiles finishing	Fabricacion de insumos textiles y acabado de textiles	Fabricacion de insumos textiles y acabado de textiles
314	group	Textile products manufacturing, except apparel	Textile products manufacturing, except apparel	Fabricacion de productos textiles, excepto prendas de vestir	Fabricacion de productos textiles, excepto prendas de vestir
315	group	Apparel manufacturing	Apparel manufacturing	Fabricacion de prendas de vestir	Fabricacion de prendas de vestir
316	group	Leather and fur tanning and finishing, and manufacturing of leather, fur and allied materials products	Leather and fur tanning and finishing, and manufacturing of leather, fur and allied materials products	Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos	Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos
321	group	Wood industry	Wood industry	Industria de la madera	Industria de la madera
322	group	Paper industry	Paper industry	Industria del papel	Industria del papel
323	group	Printing and related industries	Printing and related industries	Impresion e industrias conexas	Impresion e industrias conexas
324	group	Manufacturing of products derived from petroleum and coal	Manufacturing of products derived from petroleum and coal	Fabricacion de productos derivados del petroleo y del carbon	Fabricacion de productos derivados del petroleo y del carbon
325	group	Chemical industry	Chemical industry	Industria quimica	Industria quimica
326	group	Plastic and rubber industry	Plastic and rubber industry	Industria del plastico y del hule	Industria del plastico y del hule
327	group	Nonmetallic mineral products manufacturing	Nonmetallic mineral products manufacturing	Fabricacion de productos a base de minerales no metalicos	Fabricacion de productos a base de minerales no metalicos
332	group	Metal products manufacturing	Metal products manufacturing	Fabricacion de productos metalicos	Fabricacion de productos metalicos
333	group	Machinery and equipment manufacturing	Machinery and equipment manufacturing	Fabricacion de maquinaria y equipo	Fabricacion de maquinaria y equipo
334	group	Manufacturing of computer, communications, and measuring equipment, and other electronic equipment, components and appliances manufacturing	Manufacturing of computer, communications, and measuring equipment, and other electronic equipment, components and appliances manufacturing	Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos	Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos
335	group	Electric appliances, accessories and electric power generation equipment manufacturing	Electric appliances, accessories and electric power generation equipment manufacturing	Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica	Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica
336	group	Transportation equipment manufacturing	Transportation equipment manufacturing	Fabricacion de equipo de transporte	Fabricacion de equipo de transporte
337	group	Furniture, mattresses and blinds manufacturing	Furniture, mattresses and blinds manufacturing	Fabricacion de muebles, colchones y persianas	Fabricacion de muebles, colchones y persianas
339	group	Other manufacturing industries	Other manufacturing industries	Otras industrias manufactureras	Otras industrias manufactureras
431	group	Wholesale trade of groceries, food, beverages, ice and tobacco	Wholesale trade of groceries, food, beverages, ice and tobacco	Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco	Comercio al por mayor de abarrotes, alimentos, bebidas, hielo y tabaco
432	group	Wholesale trade of textile products and footwear	Wholesale trade of textile products and footwear	Comercio al por mayor de productos textiles y calzado	Comercio al por mayor de productos textiles y calzado
433	group	Wholesale trade of pharmaceutical and perfumery products, recreational goods, and small and major household appliances	Wholesale trade of pharmaceutical and perfumery products, recreational goods, and small and major household appliances	Comercio al por mayor de productos farmaceuticos, de perfumeria, articulos para el esparcimiento, electrodomesticos menores y aparatos de linea blanca	Comercio al por mayor de productos farmaceuticos, de perfumeria, articulos para el esparcimiento, electrodomesticos menores y aparatos de linea blanca
434	group	Wholesale trade of agricultural, forestry and industrial raw materials, and waste materials	Wholesale trade of agricultural, forestry and industrial raw materials, and waste materials	Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho	Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho
435	group	Wholesale trade of agricultural, industrial, commercial and services machinery, equipment and furniture, and other general purpose machinery and equipment	Wholesale trade of agricultural, industrial, commercial and services machinery, equipment and furniture, and other general purpose machinery and equipment	Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general	Comercio al por mayor de maquinaria, equipo y mobiliario para actividades agropecuarias, industriales, de servicios y comerciales, y de otra maquinaria y equipo de uso general
436	group	Wholesale trade of trucks and new parts for automobiles, pickup trucks and trucks	Wholesale trade of trucks and new parts for automobiles, pickup trucks and trucks	Comercio al por mayor de camiones y de partes y refacciones nuevas para automoviles, camionetas y camiones	Comercio al por mayor de camiones y de partes y refacciones nuevas para automoviles, camionetas y camiones
437	group	Wholesale trade intermediation	Wholesale trade intermediation	Intermediacion de comercio al por mayor	Intermediacion de comercio al por mayor
461	group	Retail trade of groceries, food, beverages, ice and tobacco	Retail trade of groceries, food, beverages, ice and tobacco	Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco	Comercio al por menor de abarrotes, alimentos, bebidas, hielo y tabaco
462	group	Retail trade in self-service shops and department stores	Retail trade in self-service shops and department stores	Comercio al por menor en tiendas de autoservicio y departamentales	Comercio al por menor en tiendas de autoservicio y departamentales
463	group	Retail trade of textile products, costume jewelry, clothing accessories and footwear	Retail trade of textile products, costume jewelry, clothing accessories and footwear	Comercio al por menor de productos textiles, bisuteria, accesorios de vestir y calzado	Comercio al por menor de productos textiles, bisuteria, accesorios de vestir y calzado
464	group	Retail trade of health care items	Retail trade of health care items	Comercio al por menor de articulos para el cuidado de la salud	Comercio al por menor de articulos para el cuidado de la salud
