code	level	name_sp_full	name_es	name_short_es	name_en	name_short_en
9303	class	Pompas fúnebres y actividades conexas	Pompas fúnebres y actividades conexas	Pompas fúnebres y actividades conexas	Funeral and related activities	Funeral and related activities
9309	class	Otras actividades de servicios ncp	Otras actividades de servicios ncp	Otras actividades de servicios ncp	Other service activities n.e.c.	Other service activities n.e.c.
9500	class	Hogares privados con servicio doméstico	Hogares privados con servicio doméstico	Hogares privados con servicio doméstico	Private households with employed persons	Private households with employed persons
9900	class	Organizaciones y órganos extraterritoriales	Organizaciones y órganos extraterritoriales	Organizaciones y organos extraterritoriales	Extra-territorial organizations and bodies	Extraterritorial organizations and bodies
1	division	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry
2	division	Silvicultura, extracción de madera y actividades de servicios conexas	Silvicultura, extracción de madera y actividades de servicios conexas	Silvicultura	Forestry, logging and related service activities	Forestry and logging
5	division	Pesca, producción de peces en criaderos y granjas piscícolas; actividades de servicios relacionadas con la pesca	Pesca, producción de peces en criaderos y granjas piscícolas; actividades de servicios relacionadas con la pesca	Cría de peces	Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing	Fish hatcheries and farms
10	division	Extracción de carbón, carbón lignítico y turba	Extracción de carbón, carbón lignítico y turba	Carbón, carbón lignítico y turba	Mining of coal and lignite; extraction of peat	Coal, lignite and pear
11	division	Extracción de petróleo crudo y de gas natural, actividades de servicios relacionadas con la extracción de petróleo y de gas, excepto las actividades de prospección	Extracción de petróleo crudo y de gas natural, actividades de servicios relacionadas con la extracción de petróleo y de gas, excepto las actividades de prospección	Petróleo crudo y gas natural	Extraction of crude petroleum and natural gas; service activities incidental to oil and gas extraction excluding surveying	Crude petroleum and natural gas
12	division	Extracción de minerales de uranio y de torio	Extracción de minerales de uranio y de torio	Uranio	Mining of uranium and thorium ores	Uranium ores
13	division	Extracción de minerales metalíferos	Extracción de minerales metalíferos	Minería metales	Mining of metal ores	Metal ores
14	division	Explotación de minerales no metálicos	Explotación de minerales no metálicos	Minerales no metálicos	Mining of non-metallic minerals	Non-metallic minerals
15	division	Elaboración de productos alimenticios y de bebidas	Elaboración de productos alimenticios y de bebidas	Alimentos y bebidas	Manufacture of food products and beverages	Food products and beverages
16	division	Fabricación de productos de tabaco	Fabricación de productos de tabaco	Productos de tabaco	Manufacture of tobacco products	Tobacco products
17	division	Fabricación de productos textiles	Fabricación de productos textiles	Productos textiles	Manufacture of textiles	Textiles
18	division	Fabricación de prendas de vestir; preparado y teñido de pieles	Fabricación de prendas de vestir; preparado y teñido de pieles	Prendas de vestir y pieles	Manufacture of wearing apparel; dressing and dyeing of fur	Apparel; fur
19	division	Curtido y preparado de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y similares; artículos de talabartería y guarnicionería	Curtido y preparado de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y similares; artículos de talabartería y guarnicionería	Curtido y preparado de cueros y articulos de cuero	Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear	Tanning of leather; luggage, handbags, saddlery etc.
