"","code","level","name_en","parent_id","name","name_es","name_short_en","name_short_es"
975,"19009","municipality","Cadereyta Jiménez",966.0,"Cadereyta Jiménez","Cadereyta Jiménez","Cadereyta Jiménez","Cadereyta Jiménez"
976,"19010","municipality","El Carmen",966.0,"El Carmen","El Carmen","El Carmen","El Carmen"
977,"19011","municipality","Cerralvo",966.0,"Cerralvo","Cerralvo","Cerralvo","Cerralvo"
978,"19012","municipality","Ciénega De Flores",966.0,"Ciénega De Flores","Ciénega De Flores","Ciénega De Flores","Ciénega De Flores"
979,"19013","municipality","China",966.0,"China","China","China","China"
980,"19014","municipality","Doctor Arroyo",966.0,"Doctor Arroyo","Doctor Arroyo","Doctor Arroyo","Doctor Arroyo"
981,"19015","municipality","Doctor Coss",966.0,"Doctor Coss","Doctor Coss","Doctor Coss","Doctor Coss"
982,"19016","municipality","Doctor González",966.0,"Doctor González","Doctor González","Doctor González","Doctor González"
983,"19017","municipality","Galeana",966.0,"Galeana","Galeana","Galeana","Galeana"
984,"19018","municipality","García",966.0,"García","García","García","García"
985,"19019","municipality","San Pedro Garza García",966.0,"San Pedro Garza García","San Pedro Garza García","San Pedro Garza García","San Pedro Garza García"
986,"19020","municipality","General Bravo",966.0,"General Bravo","General Bravo","General Bravo","General Bravo"
987,"19021","municipality","General Escobedo",966.0,"General Escobedo","General Escobedo","General Escobedo","General Escobedo"
988,"19022","municipality","General Terán",966.0,"General Terán","General Terán","General Terán","General Terán"
989,"19023","municipality","General Trevińo",966.0,"General Trevińo","General Trevińo","General Trevińo","General Trevińo"
990,"19024","municipality","General Zaragoza",966.0,"General Zaragoza","General Zaragoza","General Zaragoza","General Zaragoza"
991,"19025","municipality","General Zuazua",966.0,"General Zuazua","General Zuazua","General Zuazua","General Zuazua"
992,"19026","municipality","Guadalupe",966.0,"Guadalupe","Guadalupe","Guadalupe","Guadalupe"
993,"19027","municipality","Los Herreras",966.0,"Los Herreras","Los Herreras","Los Herreras","Los Herreras"
994,"19028","municipality","Higueras",966.0,"Higueras","Higueras","Higueras","Higueras"
995,"19029","municipality","Hualahuises",966.0,"Hualahuises","Hualahuises","Hualahuises","Hualahuises"
996,"19030","municipality","Iturbide",966.0,"Iturbide","Iturbide","Iturbide","Iturbide"
997,"19031","municipality","Juárez",966.0,"Juárez","Juárez","Juárez","Juárez"
998,"19032","municipality","Lampazos De Naranjo",966.0,"Lampazos De Naranjo","Lampazos De Naranjo","Lampazos De Naranjo","Lampazos De Naranjo"
999,"19033","municipality","Linares",966.0,"Linares","Linares","Linares","Linares"
1000,"19034","municipality","Marín",966.0,"Marín","Marín","Marín","Marín"
1001,"19035","municipality","Melchor Ocampo",966.0,"Melchor Ocampo","Melchor Ocampo","Melchor Ocampo","Melchor Ocampo"
1002,"19036","municipality","Mier Y Noriega",966.0,"Mier Y Noriega","Mier Y Noriega","Mier Y Noriega","Mier Y Noriega"
