"","code","level","name","parent_id","name_es","name_short_en","name_short_es"
305,"15162","municipality","Cerinza",5.0,"Cerinza","Cerinza","Cerinza"
306,"15172","municipality","Chinavita",5.0,"Chinavita","Chinavita","Chinavita"
307,"15176","municipality","Chiquinquirá",5.0,"Chiquinquirá","Chiquinquirá","Chiquinquirá"
308,"15180","municipality","Chiscas",5.0,"Chiscas","Chiscas","Chiscas"
309,"15183","municipality","Chita",5.0,"Chita","Chita","Chita"
310,"15185","municipality","Chitaraque",5.0,"Chitaraque","Chitaraque","Chitaraque"
311,"15187","municipality","Chivatá",5.0,"Chivatá","Chivatá","Chivatá"
312,"15189","municipality","Ciénega",5.0,"Ciénega","Ciénega","Ciénega"
313,"15204","municipality","Cómbita",5.0,"Cómbita","Cómbita","Cómbita"
314,"15212","municipality","Coper",5.0,"Coper","Coper","Coper"
315,"15215","municipality","Corrales",5.0,"Corrales","Corrales","Corrales"
316,"15218","municipality","Covarachía",5.0,"Covarachía","Covarachía","Covarachía"
317,"15223","municipality","Cubará",5.0,"Cubará","Cubará","Cubará"
318,"15224","municipality","Cucaita",5.0,"Cucaita","Cucaita","Cucaita"
319,"15226","municipality","Cuítiva",5.0,"Cuítiva","Cuítiva","Cuítiva"
320,"15232","municipality","Chíquiza",5.0,"Chíquiza","Chíquiza","Chíquiza"
321,"15236","municipality","Chivor",5.0,"Chivor","Chivor","Chivor"
322,"15238","municipality","Duitama",5.0,"Duitama","Duitama","Duitama"
323,"15244","municipality","El Cocuy",5.0,"El Cocuy","El Cocuy","El Cocuy"
324,"15248","municipality","El Espino",5.0,"El Espino","El Espino","El Espino"
325,"15272","municipality","Firavitoba",5.0,"Firavitoba","Firavitoba","Firavitoba"
326,"15276","municipality","Floresta",5.0,"Floresta","Floresta","Floresta"
327,"15293","municipality","Gachantivá",5.0,"Gachantivá","Gachantivá","Gachantivá"
328,"15296","municipality","Gámeza",5.0,"Gámeza","Gámeza","Gámeza"
329,"15299","municipality","Garagoa",5.0,"Garagoa","Garagoa","Garagoa"
330,"15317","municipality","Guacamayas",5.0,"Guacamayas","Guacamayas","Guacamayas"
331,"15322","municipality","Guateque",5.0,"Guateque","Guateque","Guateque"
332,"15325","municipality","Guayatá",5.0,"Guayatá","Guayatá","Guayatá"
